CD_ENTIDADE,NM_ENTIDADE,TP_ENTIDADE,DC_TIPO_ENTIDADE,TX_ACERTO,DC_HABILIDADE,CD_HABILIDADE,VL_FILTRO_DISCIPLINA,VL_FILTRO_ETAPA,VL_FILTRO_REDE,VL_FILTRO_AVALIACAO,DC_FILTRO_AVALIACAO,NM_REGIONAL
00006,SOBRAL,02,REGIONAL,78,Reconhecer formas de tratar uma informação na comparação de textos que tratam do mesmo tema.,H 02 (D019_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00008,BATURITE,02,REGIONAL,38,"Identificar as relações inversas entre as operações de adição, subtração, multiplicação e divisão.",H 02 (D008_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),BATURITE
00005,TIANGUA,02,REGIONAL,54,Utilizar as relações entre as medidas dos ângulos formados entre uma reta transversal e um feixe de retas paralelas para se obter a medida de um ângulo especificado.,H 13 (D157_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00008,BATURITE,02,REGIONAL,81,Reconhecer formas de tratar uma informação na comparação de textos que tratam do mesmo tema.,H 03 (D019_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),BATURITE
00001,MARACANAU,02,REGIONAL,21,"Reconhecer ângulos como mudança de direção ou giros, identificando ângulos retos e não-retos.",H 19 (D192_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00002,ITAPIPOCA,02,REGIONAL,64,Interpretar textos que articulam elementos verbais e não verbais.,H 13 (D057_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ITAPIPOCA
00001,MARACANAU,02,REGIONAL,40,Utilizar medidas de tendência central na resolução de problemas.,H 22 (D207_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,ESTADUAL,18621,1º AVALIE.CE 2024,
00003,ACARAU,02,REGIONAL,31,Efetuar cálculos simples com valores aproximados de radicais.,H 05 (D052_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00004,CAMOCIM,02,REGIONAL,56,Utilizar as relações entre as medidas dos ângulos formados entre uma reta transversal e um feixe de retas paralelas para se obter a medida de um ângulo especificado.,H 13 (D157_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),CAMOCIM
00008,BATURITE,02,REGIONAL,39,Reconhecer efeitos de sentido decorrentes do uso ou função da pontuação e de outras notações.,H 05 (D025_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00007,CANINDE,02,REGIONAL,42,Utilizar proporcionalidade entre duas grandezas na resolução de problema.,H 10 (D075_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00002,ITAPIPOCA,02,REGIONAL,64,Reconhecer o assunto de um texto lido.,H 06 (D028_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00003,ACARAU,02,REGIONAL,73,Reconhecer o assunto de um texto lido.,H 06 (D028_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00005,TIANGUA,02,REGIONAL,32,Utilizar volume/capacidade de paralelepípedos na resolução de problema.,H 19 (D189_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),TIANGUA
00008,BATURITE,02,REGIONAL,77,Reconhecer efeito de humor ou de ironia em um texto.,H 07 (D024_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),BATURITE
00005,TIANGUA,02,REGIONAL,83,"Utilizar números naturais, envolvendo diferentes significados das operações de adição e subtração, na resolução de problemas.",H 10 (D031_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),TIANGUA
00007,CANINDE,02,REGIONAL,55,Reconhecer o sentido das relações lógico-discursivas em um texto.,H 08 (D039_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),CANINDE
00001,MARACANAU,02,REGIONAL,74,Interpretar textos que articulam elementos verbais e não verbais.,H 12 (D057_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),MARACANAU
00004,CAMOCIM,02,REGIONAL,42,"Utilizar números naturais, envolvendo diferentes significados das operações de multiplicação e divisão, na resolução de problemas.",H 06 (D032_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00006,SOBRAL,02,REGIONAL,90,Identificar marcas linguísticas em um texto.,H 13 (D044_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),SOBRAL
00006,SOBRAL,02,REGIONAL,75,Identificar marcas linguísticas em um texto.,H 14 (D044_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),SOBRAL
00006,SOBRAL,02,REGIONAL,83,Inferir o sentido de palavra ou expressão a partir do contexto.,H 02 (D022_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),SOBRAL
00004,CAMOCIM,02,REGIONAL,41,Comparar e ordenar números inteiros.,H 01 (D004_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
